Kmax,Ku,n,halfmax,Vhalf,slope
40.97,0.009357,0.9846,19760,-10.67,0.002073
475400,0.007988,0.9398,1.63e+08,-69.75,0.002917
54.57,0.01417,0.8701,12640,-6.877,0.004317
143700,0.01012,0.7684,16260000,-66.06,0.008838
31.48,0.006415,0.9592,11250,-65.16,0.002798
41.12,0.00775,0.7933,5206,-58.21,0.007899
231.4,0.003532,0.9179,64820,-60.9,0.00357
32.28,0.01595,0.9081,10690,-7.136,0.00302
414100,0.004765,0.8855,92830000,-65.82,0.004461
115,0.009225,0.7905,16080,-62.13,0.007152
92700,0.006597,0.8302,15650000,-58.57,0.005923
245900,0.007776,0.8527,43090000,-67.64,0.005707
15.05,0.01423,1.026,9324,-4.129,0.001614
864700,0.006767,0.8165,131400000,-60.15,0.006581
72.99,0.007279,0.9339,22090,-58.62,0.003304
35.56,0.006302,1.009,18080,-65.69,0.001967
177600,0.005082,0.955,65540000,-68.43,0.00271
130.9,0.00858,0.8424,23290,-68.23,0.00562
14.61,0.0175,0.9774,5616,-75.95,0.002601
22.72,0.003535,1.008,10290,-59.77,0.002208
215400,0.008386,0.919,63520000,-71.36,0.003391
1562000,0.01059,0.8407,282500000,-70.29,0.005529
608700,0.01413,0.7708,73300000,-65.62,0.008304
909900,0.005926,0.903,257100000,-68.09,0.003539
407.3,0.01135,0.8888,112600,-68.34,0.003617
65.79,0.006054,0.9289,20080,-66.98,0.003276
76420,0.006601,0.8229,11800000,-56.69,0.006476
692.2,0.005024,0.8979,166700,-67.75,0.004152
46.88,0.007923,0.8617,8806,-67.44,0.005324
17.94,0.0176,0.967,8426,-8.088,0.002129
2334000,0.008661,0.8945,603500000,-71.84,0.003867
29.56,0.004324,0.8747,6088,-56.79,0.004855
1276000,0.009049,0.9014,347800000,-68.27,0.003669
19.52,0.01804,0.8931,5151,-67.42,0.00379
91590,0.006341,0.9481,34830000,-62.26,0.00263
4828,0.005905,0.8802,1148000,-61.72,0.004206
36800,0.00801,0.8102,5801000,-66.78,0.006344
29.76,0.008968,0.868,6223,-62.21,0.004782
16.31,0.01023,1.039,9220,-69.36,0.001769
47810,0.004285,0.8787,11470000,-59.9,0.004168
21.5,0.01697,0.8741,4842,-8.635,0.00444
850600,0.006661,0.8644,191600000,-62.49,0.004439
65.77,0.007174,0.9508,23860,-67.16,0.002756
119.2,0.01743,0.8418,26810,-4.703,0.004446
76.83,0.005722,0.8949,19460,-63.45,0.003948
2643,0.01402,0.8255,497700,-7.317,0.00531
250700,0.008595,0.876,62560000,-60.54,0.004007
28.42,0.01371,0.9294,9130,-11.07,0.003113
111.8,0.006838,0.9103,33590,-58.29,0.003328
32.23,0.006634,1.025,19360,-56.18,0.001665
33.76,0.007107,0.8617,6516,-60.97,0.005181
786500,0.007375,0.856,1.6e+08,-67.43,0.004916
40.8,0.008,0.8836,8930,-66.46,0.004569
11380,0.004543,0.9277,3819000,-60.39,0.00298
253.2,0.009236,0.7663,29360,-62.34,0.008624
231.1,0.01602,0.877,68870,-5.891,0.003356
16.25,0.01777,0.8718,3608,-9.284,0.004504
388000,0.007884,0.8545,71510000,-66.84,0.005426
156.8,0.005386,0.893,37070,-67.33,0.00423
8347,0.008278,0.838,1424000,-64.65,0.005862
91.72,0.01376,0.8801,25330,-7.32,0.003621
889300,0.007113,0.8405,167600000,-66.12,0.005306
175.2,0.008535,0.8536,34940,-68.25,0.005014
42.97,0.008731,0.9568,17420,-66.45,0.002467
22.72,0.0114,0.8525,4140,-51,0.005488
83480,0.005011,0.8419,15720000,-58.35,0.00531
50.43,0.01787,0.7996,7980,-12.24,0.00632
28.09,0.008466,1.019,16630,-67.22,0.001689
869100,0.01238,0.8147,132200000,-62.48,0.006574
193.7,0.005979,0.8815,43990,-64.42,0.004403
7127,0.005671,0.8494,1400000,-63.68,0.005091
144.7,0.007662,0.9951,68040,-72.81,0.002127
65.27,0.006011,0.8424,13260,-54.77,0.004922
208.1,0.003957,0.9861,104000,-61.13,0.002001
24.13,0.007897,0.9552,8293,-65.79,0.00291
26.2,0.01395,0.845,4470,-70.07,0.005861
174000,0.01101,0.8412,35080000,-68.41,0.00496
8995,0.007681,0.9298,2811000,-71.09,0.0032
27.31,0.007486,1.006,13840,-67.05,0.001973
18.28,0.01887,0.9333,6533,-4.031,0.002798
235800,0.006964,0.8649,53420000,-59.87,0.004414
22.83,0.008541,0.9172,6423,-62.16,0.003554
476.9,0.007303,0.9529,163800,-72.19,0.002911
108400,0.008932,0.8841,25100000,-68.89,0.004319
23.15,0.01543,0.9516,8958,-6.883,0.002584
291800,0.005774,0.8872,73260000,-69.51,0.003983
21790,0.008598,0.8257,4045000,-61.44,0.005387
974000,0.00869,0.8857,229700000,-70.58,0.00424
262100,0.005093,0.8851,57960000,-69.98,0.004522
23.03,0.007468,1.013,11670,-67.69,0.001973
475100,0.008113,0.8729,95980000,-72.2,0.00495
322.1,0.008908,0.9083,89000,-68.83,0.003619
174600,0.007127,0.8607,36540000,-67.11,0.004778
62.05,0.01092,0.8872,15150,-66.86,0.004096
304900,0.004413,0.9055,81750000,-68.19,0.00373
46990,0.007213,0.8644,10650000,-65.64,0.004412
1114,0.008937,0.8884,261000,-69.01,0.004268
3551,0.01646,0.7758,499600,-10.28,0.007108
2127000,0.006228,0.8599,431800000,-68.29,0.004926
26.81,0.006223,0.865,5375,-53.77,0.004988
54.68,0.008845,0.9042,16420,-62.96,0.00333
26.75,0.0093,0.8627,5148,-62.08,0.005196
16310,0.005072,0.9019,4381000,-69.83,0.003723
30.87,0.01478,0.8695,6611,-74.68,0.004669
154000,0.007152,0.8568,31840000,-66.15,0.004837
590900,0.01092,0.8332,101100000,-60.76,0.005845
258300,0.01039,0.8924,67490000,-63.38,0.003827
30.16,0.007681,0.9772,12770,-67.37,0.002362
122,0.007328,0.8836,29990,-65.49,0.004068
17.38,0.007443,1.04,10730,-60.24,0.00162
36.06,0.01034,0.8649,7855,-62.57,0.004591
5241,0.01272,0.8648,1284000,-7.379,0.004082
284600,0.01124,0.9111,84250000,-65.19,0.003378
500500,0.01142,0.8066,75220000,-66.85,0.006654
