Kmax,Ku,n,halfmax,Vhalf,slope
197300,1.317e-05,1.081,1107000,-9.87,0.1782
11.78,2.013e-05,1.222,85.38,-1.012,0.138
98.31,1.622e-05,0.9808,483.9,-1.198,0.2032
30.13,1.393e-05,1.165,190.1,-8.05,0.1585
124.7,1.953e-05,1.069,817.6,-1,0.1525
50880,1.586e-05,1.025,300900,-1.001,0.1691
121,1.147e-05,1.078,663,-7.678,0.1825
11.26,2.05e-05,1.309,93.86,-1,0.12
9.478,1.661e-05,1.349,74.45,-1.001,0.1273
12.75,1.724e-05,1.192,74.1,-1.001,0.1721
4805000,2.015e-05,1.03,32360000,-1.013,0.1485
24.27,1.984e-05,1.047,127.2,-1.138,0.1908
1421000,1.932e-05,1.048,9351000,-1.016,0.152
25.13,1.733e-05,1.152,171.5,-1,0.1465
27.92,1.827e-05,1.101,176.9,-1,0.1578
26280,1.109e-05,1.018,106600,-33.44,0.2465
10.93,1.712e-05,1.095,50.85,-1,0.2149
20.35,1.084e-05,1.149,95.85,-10.87,0.2123
19.87,1.604e-05,1.162,147.6,-1,0.1346
80290,1.974e-05,0.9897,425100,-1,0.1889
441400,1.869e-05,0.9935,2325000,-4.424,0.1898
13.06,1.798e-05,1.169,80.46,-1.006,0.1623
19.38,1.638e-05,1.126,122.9,-1,0.1577
14.72,1.83e-05,1.086,80.22,-1.001,0.1835
454400,1.838e-05,1.026,2734000,-1.042,0.1662
26880,1.521e-05,0.9766,124900,-3.163,0.2152
16.09,1.966e-05,1.209,106.4,-1.001,0.1512
2290000,1.186e-05,1.028,10720000,-31.43,0.2136
