Kmax,Ku,n,halfmax,Vhalf,slope
12.47,0.04547,1.166,695400,-146,1.793e-05
18.05,0.06789,1.025,300200,-85,6.013e-05
14.36,0.163,1.181,1144000,-80.55,1.255e-05
17.2,0.0691,1.066,451900,-84.05,3.806e-05
32.47,0.9983,1.06,918300,-82.97,3.536e-05
25.33,0.973,1.155,1890000,-79.71,1.34e-05
17.44,0.07089,1.103,680300,-94.22,2.564e-05
17.62,0.1147,1.004,286100,-81.76,6.159e-05
15.05,0.04807,1.122,525200,-166.4,2.866e-05
20.79,0.1816,1.018,367600,-81.07,5.656e-05
15.17,0.06739,1.073,376800,-91.41,4.026e-05
12.46,0.04355,1.298,2692000,-146.5,4.629e-06
16.52,0.0782,1.047,344600,-88.59,4.794e-05
12.37,0.1011,1.262,2029000,-84.6,6.097e-06
16.12,0.06505,1.093,459900,-90.41,3.505e-05
37.44,0.1065,0.9618,370000,-84.76,0.0001012
17.15,0.05722,1.139,849200,-168.5,2.02e-05
13.36,0.1386,1.203,1178000,-95.85,1.134e-05
11.91,0.04581,1.298,2473000,-89.52,4.816e-06
11.71,0.05697,1.086,307300,-92.62,3.811e-05
17.49,0.1226,1.11,692400,-82.34,2.526e-05
14.75,0.05519,1.209,1301000,-136.9,1.134e-05
12.99,0.05691,1.099,365600,-166.5,3.553e-05
18.67,0.08002,1.032,333400,-84.84,5.6e-05
10.91,0.06428,1.309,2355000,-85.02,4.633e-06
20.71,0.04564,1.106,685300,-98.85,3.022e-05
14.44,0.05591,1.178,901400,-90.47,1.602e-05
22.86,0.07983,1.068,625700,-86.73,3.654e-05
18.27,0.07969,1.043,359000,-85.29,5.089e-05
17.74,0.09142,1.121,901300,-82.68,1.968e-05
21.08,0.977,1.136,1123000,-80.67,1.877e-05
15.09,0.1852,1.203,1356000,-82.22,1.113e-05
20.99,0.8254,1.094,815400,-77.44,2.574e-05
13.91,0.04842,1.226,1437000,-89.14,9.68e-06
18.22,0.08193,1.107,650800,-84.19,2.8e-05
14.55,0.0852,1.083,385900,-88.08,3.77e-05
21.28,0.1687,1.084,723900,-83.93,2.94e-05
9.053,0.1073,1.214,836700,-80.9,1.082e-05
14.58,0.06188,0.9775,146500,-90.09,9.952e-05
23.38,0.1118,1.083,690100,-83.25,3.388e-05
10.91,0.04506,1.182,692600,-133.5,1.575e-05
14.6,0.1047,1.2,1461000,-83.97,9.993e-06
16.19,0.1631,1.076,433400,-79.95,3.736e-05
14.26,0.03651,1.06,342500,-95.18,4.164e-05
11.14,0.03629,1.25,1376000,-162.1,8.096e-06
14.89,0.05593,1.232,1625000,-90.75,9.163e-06
11.62,0.1407,1.355,4420000,-147.5,2.629e-06
11.83,0.04358,1.218,1109000,-148.4,1.067e-05
14.53,0.06655,1.197,1289000,-87.92,1.127e-05
20.76,0.05432,1.2,1968000,-90.1,1.055e-05
14.17,0.06442,1.192,1150000,-89.71,1.232e-05
14.64,0.05501,1.223,1449000,-90.6,1.01e-05
18.09,0.05049,1.125,722500,-94.21,2.504e-05
11.98,0.05344,1.187,817100,-150.7,1.466e-05
14.56,0.09119,1.213,1396000,-86.28,1.043e-05
8.533,0.04948,1.269,1243000,-167.7,6.865e-06
24.1,0.1056,1.076,677800,-80.62,3.556e-05
15.55,0.04938,1.151,832600,-92.45,1.868e-05
12.12,0.04494,1.223,1202000,-96.25,1.008e-05
18.64,0.07996,1.191,1480000,-86.08,1.259e-05
23.18,0.2293,1.09,820000,-82.29,2.827e-05
15.96,0.05046,1.08,412100,-97.57,3.873e-05
19.8,0.9371,1.066,531600,-84.49,3.725e-05
